"","capital","capitalLabel","coordinate_location","capital_of","capital_ofLabel","country","countryLabel"
"150","http://www.wikidata.org/entity/Q41474","Kingstown","Point(-61.233333333 13.166666666)","http://www.wikidata.org/entity/Q757","Saint Vincent and the Grenadines","http://www.wikidata.org/entity/Q757","Saint Vincent and the Grenadines"
"151","http://www.wikidata.org/entity/Q41547","St. George's","Point(-61.741666666 12.044444444)","http://www.wikidata.org/entity/Q769","Grenada","http://www.wikidata.org/entity/Q769","Grenada"
"152","http://www.wikidata.org/entity/Q41547","St. George's","Point(-61.741666666 12.044444444)","http://www.wikidata.org/entity/Q2152097","People's Revolutionary Government","http://www.wikidata.org/entity/Q769","Grenada"
"153","http://www.wikidata.org/entity/Q41547","St. George's","Point(-61.741666666 12.044444444)","http://www.wikidata.org/entity/Q2660774","British Windward Islands","http://www.wikidata.org/entity/Q769","Grenada"
"154","http://www.wikidata.org/entity/Q41699","Castries","Point(-60.983333333 14.016666666)","http://www.wikidata.org/entity/Q760","Saint Lucia","http://www.wikidata.org/entity/Q760","Saint Lucia"
"155","http://www.wikidata.org/entity/Q41699","Castries","Point(-60.983333333 14.016666666)","http://www.wikidata.org/entity/Q1049867","Castries Quarter","http://www.wikidata.org/entity/Q760","Saint Lucia"
"156","http://www.wikidata.org/entity/Q41963","Sri Jayawardenepura Kotte","Point(79.916388888 6.9)","http://www.wikidata.org/entity/Q854","Sri Lanka","http://www.wikidata.org/entity/Q854","Sri Lanka"
"157","http://www.wikidata.org/entity/Q42751","Palikir","Point(158.185 6.917777777)","http://www.wikidata.org/entity/Q702","Federated States of Micronesia","http://www.wikidata.org/entity/Q702","Federated States of Micronesia"
"158","http://www.wikidata.org/entity/Q42800","Belo Horizonte","Point(-43.941944444 -19.928055555)","http://www.wikidata.org/entity/Q39109","Minas Gerais","http://www.wikidata.org/entity/Q155","Brazil"
"159","http://www.wikidata.org/entity/Q43433","Chandigarh","Point(76.791111111 30.735277777)","http://www.wikidata.org/entity/Q1174","Haryana","http://www.wikidata.org/entity/Q668","India"
"160","http://www.wikidata.org/entity/Q43433","Chandigarh","Point(76.791111111 30.735277777)","http://www.wikidata.org/entity/Q22424","Punjab","http://www.wikidata.org/entity/Q668","India"
"161","http://www.wikidata.org/entity/Q43433","Chandigarh","Point(76.791111111 30.735277777)","http://www.wikidata.org/entity/Q2354639","East Punjab","http://www.wikidata.org/entity/Q668","India"
"162","http://www.wikidata.org/entity/Q44059","La Plata","Point(-57.95 -34.933333333)","http://www.wikidata.org/entity/Q44754","Buenos Aires Province","http://www.wikidata.org/entity/Q414","Argentina"
"163","http://www.wikidata.org/entity/Q44059","La Plata","Point(-57.95 -34.933333333)","http://www.wikidata.org/entity/Q260600","La Plata Partido","http://www.wikidata.org/entity/Q414","Argentina"
"164","http://www.wikidata.org/entity/Q44211","Corrientes","Point(-58.816666666 -27.483333333)","http://www.wikidata.org/entity/Q44758","Corrientes","http://www.wikidata.org/entity/Q414","Argentina"
